hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,106,2017,March,13,28,0,2,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,0,Canceled,2016-12-12
City Hotel,1,258,2016,October,41,2,2,5,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.1,0,0,Canceled,2016-01-18
City Hotel,1,104,2017,May,20,15,1,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,160.0,0,0,Canceled,2017-01-31
City Hotel,0,175,2017,June,26,30,1,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,92.4,0,0,Check-Out,2017-07-03
City Hotel,0,256,2016,June,25,15,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,1,Check-Out,2016-06-17
City Hotel,1,95,2017,March,12,23,0,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,0,Canceled,2016-12-19
City Hotel,0,39,2015,August,33,10,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,D,0,No Deposit,1.0,,0,Transient-Party,62.0,0,1,Check-Out,2015-08-12
City Hotel,1,277,2016,November,46,7,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,100.0,0,0,Canceled,2016-04-04
Resort Hotel,0,0,2016,March,11,7,1,0,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,40.0,0,0,Check-Out,2016-03-08
City Hotel,1,66,2016,April,14,2,2,1,1,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.1,0,0,Canceled,2016-03-15
City Hotel,0,128,2017,June,26,26,1,4,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,117.0,0,1,Check-Out,2017-07-01
Resort Hotel,0,12,2017,February,5,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,1,0,2,D,D,0,No Deposit,240.0,,0,Transient,65.0,1,1,Check-Out,2017-02-05
City Hotel,0,25,2015,July,31,27,1,1,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Check-Out,2015-07-29
City Hotel,1,5,2015,December,53,29,0,1,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,111.0,0,0,Canceled,2015-12-25
Resort Hotel,1,111,2016,February,7,12,0,2,2,0.0,0,FB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,38.0,,0,Transient,70.0,0,0,Canceled,2016-01-26
Resort Hotel,1,77,2016,August,34,18,0,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240.0,,0,Transient,214.0,0,0,Canceled,2016-06-25
City Hotel,0,236,2017,July,30,23,4,9,3,0.0,0,BB,KOR,Direct,Direct,0,0,0,D,D,1,No Deposit,14.0,,0,Transient,164.76,0,0,Check-Out,2017-08-05
Resort Hotel,1,468,2016,May,20,12,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,249.0,,0,Transient-Party,67.0,0,0,Canceled,2016-03-04
City Hotel,0,18,2015,July,27,4,2,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,60.0,0,0,Check-Out,2015-07-08
Resort Hotel,1,60,2017,August,34,20,4,7,2,0.0,0,BB,AGO,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,255.45,0,3,Canceled,2017-07-05
City Hotel,0,320,2016,August,34,18,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,1,Check-Out,2016-08-20
City Hotel,0,28,2015,October,44,29,0,1,1,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,98.0,,0,Transient-Party,130.0,0,0,Check-Out,2015-10-30
City Hotel,0,14,2017,May,21,23,0,2,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,9.0,,0,Transient,249.0,0,0,Check-Out,2017-05-25
City Hotel,0,24,2016,March,13,26,2,1,2,0.0,0,BB,AUT,Groups,TA/TO,0,0,0,A,D,0,No Deposit,1.0,,0,Transient-Party,100.0,0,1,Check-Out,2016-03-29
Resort Hotel,0,0,2015,December,50,9,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,40.0,0,0,Check-Out,2015-12-10
Resort Hotel,1,289,2016,September,39,24,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,96.0,,0,Transient-Party,64.0,0,0,Canceled,2016-05-19
City Hotel,1,277,2016,November,46,7,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,100.0,0,0,Canceled,2016-04-04
City Hotel,0,186,2016,August,35,27,0,1,3,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,137.7,1,0,Check-Out,2016-08-28
Resort Hotel,0,12,2016,December,53,27,0,4,2,0.0,0,SC,PRT,Direct,Direct,0,0,0,A,I,3,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2016-12-31
City Hotel,0,44,2016,April,18,26,0,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,9.0,,0,Transient,119.38,0,1,Check-Out,2016-04-30
Resort Hotel,0,250,2017,August,32,6,4,10,2,0.0,0,BB,PRT,Direct,Direct,0,0,2,E,E,0,No Deposit,,,0,Transient,201.43,1,4,Check-Out,2017-08-20
City Hotel,1,358,2016,June,27,30,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
City Hotel,1,77,2016,February,9,24,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,64.0,0,0,Canceled,2016-01-11
City Hotel,0,2,2016,April,18,27,0,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,146.0,0,1,Check-Out,2016-04-29
Resort Hotel,0,364,2016,October,42,12,0,4,1,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,A,3,No Deposit,,223.0,0,Transient-Party,60.0,0,0,Check-Out,2016-10-16
City Hotel,0,0,2017,February,8,25,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,118.0,0,1,Check-Out,2017-02-26
City Hotel,1,74,2016,September,40,27,0,2,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,149.4,0,0,Canceled,2016-07-15
Resort Hotel,0,119,2015,September,38,15,4,10,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,142.0,,0,Transient,71.66,0,0,Check-Out,2015-09-29
City Hotel,0,0,2016,October,43,17,1,0,1,0.0,0,BB,ITA,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,62.0,0,Transient,95.0,0,0,Check-Out,2016-10-18
City Hotel,1,420,2016,September,36,3,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,35.0,,0,Transient,75.0,0,0,Canceled,2015-10-12
City Hotel,1,365,2016,July,28,7,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
City Hotel,0,71,2016,April,18,24,2,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,93.08,0,1,Check-Out,2016-04-28
Resort Hotel,1,238,2017,February,6,10,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,155.0,,0,Transient,54.0,0,0,Canceled,2016-12-15
City Hotel,1,36,2017,June,24,13,0,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,144.0,0,1,Canceled,2017-05-08
Resort Hotel,0,0,2017,January,2,10,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,E,3,No Deposit,,,0,Transient,64.0,0,0,Check-Out,2017-01-12
City Hotel,1,87,2016,August,33,9,0,4,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,150.3,0,0,Canceled,2016-06-05
City Hotel,1,363,2015,October,42,15,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0,Canceled,2015-01-01
City Hotel,1,224,2015,September,37,11,1,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,90.0,0,0,Canceled,2015-07-25
City Hotel,0,2,2016,January,5,27,0,1,1,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,D,0,No Deposit,,45.0,0,Transient-Party,0.0,0,0,Check-Out,2016-01-28
City Hotel,0,271,2016,September,39,21,0,3,2,0.0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,12.0,,0,Transient-Party,101.33,0,1,Check-Out,2016-09-24
Resort Hotel,1,123,2017,February,5,1,4,10,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,37.8,0,0,Canceled,2016-12-24
City Hotel,1,54,2017,January,3,18,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,171.0,,0,Transient,65.0,0,0,Canceled,2016-11-25
City Hotel,1,212,2017,June,22,2,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,20.0,,0,Transient-Party,105.0,0,0,Canceled,2017-04-21
City Hotel,1,130,2016,April,16,13,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,29.0,,10,Transient,100.0,0,0,Canceled,2015-12-15
City Hotel,0,43,2017,March,10,11,0,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,G,4,No Deposit,9.0,,0,Transient,118.0,0,1,Check-Out,2017-03-12
Resort Hotel,1,172,2017,July,28,14,2,5,3,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15.0,,0,Transient,163.53,0,2,Canceled,2017-01-25
Resort Hotel,0,3,2016,May,21,19,0,2,2,0.0,0,BB,PRT,Complementary,TA/TO,0,0,0,F,G,0,No Deposit,69.0,,0,Transient,0.0,0,2,Check-Out,2016-05-21
City Hotel,0,76,2016,June,25,17,2,2,2,1.0,0,BB,EGY,Online TA,TA/TO,0,0,0,A,D,6,No Deposit,9.0,,0,Transient,126.9,0,2,Check-Out,2016-06-21
City Hotel,1,54,2017,July,30,24,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,42.0,,0,Transient,107.2,0,1,Canceled,2017-06-07
Resort Hotel,0,7,2017,April,14,7,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242.0,,0,Transient,92.0,1,1,Check-Out,2017-04-10
Resort Hotel,0,40,2016,November,46,12,2,5,2,0.0,0,BB,SWE,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,171.0,,0,Transient,30.6,0,0,Check-Out,2016-11-19
City Hotel,1,1,2016,February,10,28,2,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134.0,,0,Transient-Party,60.0,0,0,Canceled,2016-02-27
Resort Hotel,1,0,2017,August,34,24,0,1,1,0.0,0,BB,AGO,Direct,Direct,1,0,2,G,G,0,No Deposit,,,0,Transient,190.0,0,0,Canceled,2017-08-24
Resort Hotel,0,64,2017,July,31,31,1,4,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,271.0,0,2,Check-Out,2017-08-05
City Hotel,0,3,2017,June,26,26,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,1,5,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,1,Check-Out,2017-06-28
City Hotel,1,55,2016,March,14,31,0,1,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,83.0,,0,Transient,127.82,0,1,Canceled,2016-03-28
Resort Hotel,0,26,2016,April,17,23,2,5,2,0.0,0,HB,ESP,Direct,Direct,0,0,0,E,E,4,No Deposit,250.0,,0,Transient-Party,115.0,0,2,Check-Out,2016-04-30
City Hotel,0,83,2016,October,42,13,1,3,1,0.0,0,BB,GBR,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,152.78,0,0,Check-Out,2016-10-17
City Hotel,0,94,2016,May,21,17,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient-Party,132.6,0,1,Check-Out,2016-05-21
Resort Hotel,0,6,2016,August,36,29,1,3,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,,0,Transient,164.1,0,0,Check-Out,2016-09-02
City Hotel,0,90,2016,August,33,12,2,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,117.9,0,1,Check-Out,2016-08-16
City Hotel,1,198,2015,December,49,5,2,1,2,0.0,0,HB,ESP,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,90.0,0,0,Canceled,2015-10-23
City Hotel,0,96,2016,July,29,16,2,5,3,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,191.57,0,2,Check-Out,2016-07-23
City Hotel,0,71,2017,January,1,2,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,97.4,1,2,Check-Out,2017-01-06
City Hotel,1,261,2015,October,42,16,0,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6.0,,0,Transient-Party,120.0,0,0,Canceled,2015-07-08
City Hotel,0,163,2017,August,33,19,2,2,2,0.0,0,BB,LUX,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient-Party,131.5,0,1,Check-Out,2017-08-23
City Hotel,0,247,2016,June,24,6,1,1,1,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,6.0,,0,Transient-Party,90.0,0,0,Check-Out,2016-06-08
Resort Hotel,1,242,2017,August,31,1,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,153.75,0,0,Canceled,2017-07-16
Resort Hotel,1,334,2017,July,26,1,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient-Party,107.1,0,0,Canceled,2016-08-15
